key	text	alternative
Zimri	Xim-ri	Only 7 days in ca. 751 BCE
OmriTibni	Ôm-ri và Típ-ni	4 years Omri and Tibni
Omri	Ôm-ri (một mình)	from 947 Omri alone
Ahab	A-háp	
Ahaziah	A-cha-xia	
Jehoram	Giê-hô-ram	
Jehu	Giê-hu	
Jeoahaz	Giê-hô-a-cha	
JeoahazJehoash	Giê-hô-a-cha và Giê-hô-ách	For 3 years Jeoahaz and Jeoash reigned together
Jehoash2	Giê-hô-ách (một mình)	Jehoash (alone)
Jeroboam2	Giê-rô-bô-am II	
Zechariah	Xa-cha-ri	reign only recorded 6 months, probably only established 792 BCE
Schallum	Sa-lum	only one month
Menahem	Mê-na-hem	
Pekahiah	Phê-ca-hia	
Pekah	Phê-ca-hia	
Hoshea	Hô-sê	9 years from c. 748
Elijah	Ê-li-gia	
Elisha	Ê-li-sê	
Jonah	Giô-na	
Amos	A-mốt	
Joel	Giô-ên	
Hosea	Ô-sê	
Isaiah	Ê-sai	
Micah	Mi-chê	
Zephaniah	Xô-phô-ni	
Nahum	Na-hum	
Jeremiah	Giê-rê-mi	
Habakuk	Ha-ba-cúc	
Daniel	Đa-ni-ên	
Ezekiel	Ê-xê-chi-ên	
Obadiah	Áp-đia	
Malachi	Ma-la-chi	
Ruth	Ru-tơ	
Ezra	Ê-xơ-ra	
Nehemiah	Nê-hê-mi	
Esther	Ê-xơ-tê	
Job	Gióp	
moses2	1593 đến 1473 TCN – 120 tuổi	
moses3	Môi-se	
wilderness	Y-sơ-ra-ên trong đồng vắng 1513 đến 1473 TCN - 40 năm	
timespan_judges	1473 đến 1117 TCN – 356 năm	
timespan_judges2	Thời gian của Quan xét	
temple1	Ni-san 1513 TCN đến Xi-u 1034 TCN	
temple2	479 năm mới xây dựng đền – 1 Các vua 6:1	1034 BCE
69weeks	Chúa Giê-su làm báp-têm vào mùa thu năm 29 CN	
69weeks2	69 tuần cho đến lúc Đấng Mê-si – Đa-ni-ên 9:25	
jesus_service	3,5 năm phụng sự Chúa Giê-su, bị xử tử vào ngày 14 Ni-san năm 33 CN.	
jesus_life	Chúa Giê-su sinh năm 2 TCN	
exile	607 đến 537 TCN – 70 năm (Giê-rê-mi 25:11)	
exile2	lưu đày	
7times	Khải huyền 12:9	
7times2	Bảy kỳ , “các kỳ dân ngoại” (Đa-ni-ên 4:16) – 2520 năm đến Nước Trời 1914 CN (Đa-ni-ên 4:23)	
ww1	Thế chiến thứ nhất – 1914–1918 CN	
ww2	Thế chiến thứ hai – 1939–1945 CN	
30_year_war	Chiến tranh 30 năm ở châu Âu 1618-1648 CN	
joshua	110 tuổi	
joshua2	Giô-suê	
caleb	hơn 85 tuổi	
caleb2	Ca-lép	
missionary1	Chuyến hành trình truyền giáo đầu tiên của Phao-lô, c. 47-48 CN với Ba-na-ba và Giăng Mác	
circumcision	Vấn đề cắt bao quy đầu tại Antioch, hội nghị ở Jerusalem c. 49 CN	
missionary2	Chuyến hành trình truyền giáo thứ hai của Phao-lô c. 49-52 CN với Si-la (Silvanus)	
missionary3	Chuyến hành trình truyền giáo thứ ba của Phao-lô c. 52-56 CN	
caesarea	Phao-lô bị giam ở Sê-sa-rê c. 56-58 CN	
rome1	Phao-lô bị tù lần đầu ở Rô-ma c. 59-61 CN	
rome2	Phao-lô bị tù lần thứ hai ở Rô-ma c. 65 CN, 2 Ti-mô-thê được viết, Phao-lô bị xử tử	
Julius	Julius	
Augustus	Augustus	
Tiberius	Tiberius	
Caligula	Caligula	
Claudius	Claudius	
Nero	Nero	
Galba-Otho-Vitellius	Galba, Otho và Vitellius (Năm Tứ Hoàng)	
Vespasian	Vespasian	
event_exodus	Ra khỏi xứ Ai-Cập vào ngày 14 tháng Ni-san năm 1513 TCN	
event_division_kingdom	Y-sơ-ra-ên chia làm hai nước 997 TCN	
event_destruction_samaria	Sự hủy diệt Sa-ma-ri 740 TCN bởi người Assyria	
event_destruction_samaria2	740 TCN bởi người Assyria	
event_destruction_jerusalem1	Giê-ru-sa-lem bị hủy phá, dân chúng bị lưu đày sang Ba-by-lôn 607 TCN, 390 năm sau khi Y-sơ-ra-ên chia làm hai nước (Ê-xê-chi-ên 4:5)	
event_temple_rebuilt	xây lại đền thớ 515 TCN	
event_jerusalem_rebuilt	tường thành Giê-ru-sa-lem xây lại 455 TCN	
event_destruction_jerusalem2	Sự phá hủy thành Giê-ru-sa-lem vào năm 70 CN bởi La Mã dưới thời Titus	
event_1914	Cuối thời kỳ của các dân tộc, vương quốc của Đức Chúa Trời bắt đầu cai trị trên trời 1914 CN.	
became_king	làm vua lúc	
vulgate	Vulgate được hoàn thành bởi Jerome (bản dịch kinh thánh bằng tiếng Latin) c. 405 CN	
gutenberg	Kinh thánh Gutenberg in năm 1455	
erasmus	Văn bản tiếng Hy Lạp trong Kinh thánh tiếng Hy Lạp do Desiderius Erasmus ở Rotterdam xuất bản năm 1516	
luther	Bản dịch Kinh thánh Luther vào tháng 9 năm 1522	
tyndale	Bản dịch Kinh thánh tiếng Anh của Tyndale 1536	
king_james	Kinh thánh King James 1611	
69weeks3	Chúa Giê-su bắt đầu rao truyền 29 CN (Lu-ca 3:1, 21)	
ransom	giữa tuần “hy sinh để chấm dứt” Đa-ni-ên 9:27	
cornelius	Cọt-nây làm báp-têm vào cuối 70 tuần lễ (Đa-ni-ên 9:24) vào năm 36 CN.	
columbus	kết thúc thời kỳ tiền Colombia ở châu Mỹ 1492	
declaration_independence	Tuyên ngôn độc lập của 13 thuộc địa ở Mỹ 1776	
tischendorf	Tischendorf phát hiện ra Codex Sinaiticus từ thế kỷ thứ 4 năm 1844	
dead_sea_scrolls	Cuộn giấy Biển Chết được viết	
septuagint	Bản Bảy Mươi LXX được dịch	
watchtower	Số đầu tiên của tạp chí “Tháp canh Si-ôn và Sứ giả về sự hiện diện của Đấng Christ” được xuất bản năm 1879	
photodrama	“Kịch ảnh về sự sáng tạo” được trình chiếu lần đầu tiên tại New York vào ngày 11 tháng 1 năm 1914	
jehovahs_witnesses	Các Học viên Kinh Thánh lấy một tên mới – Nhân Chứng Giê-hô-va. Ở Columbus, Ohio, 1931	
gilead_school	Trường Kinh Thánh Ga-la-át của Tháp Canh bắt đầu vào thứ Hai ngày 1 tháng 2 năm 1943	
new_world_translation1	“Bản dịch Kinh Thánh Thế Giới Mới” ra mắt tại Manchester, Anh quốc vào ngày 18-6-1960	
truth_book	Sách “Sự Thật Dẫn Đến Sự Sống Đời Đời” xuất bản năm 1968	
metropolitan	Bắt đầu làm chứng tại đô thị vào năm 2011	
jw_org	Bắt đầu JW.ORG với những hướng dẫn trong Thánh Chức Nước Trời tháng 12 năm 2012	
new_world_translation2	Bản “Bản dịch Kinh Thánh Thế Giới Mới” được sửa đổi được phát hành tại cuộc họp thường niên năm 2013	
jw_broadcasting	Bắt đầu phát sóng Kênh truyền thông JW vào tháng 10 năm 2014	
meeting_workbook	Hình thức mới của cuộc họp giữa tuần với “sổ bài tập cuộc họp” bắt đầu từ tháng 1 năm 2016	
covid19	Đại dịch Covid-19 toàn cầu dẫn đến việc đóng cửa, cách ly và các cuộc họp online	
cold_war	Tình hình địa chính trị gắn mác “Chiến tranh Lạnh” 1945-1991	
timeline_created	Dòng thời gian này được tạo ra vào năm 2023, năm nóng nhất trong lịch sử loài người và kéo dài 125.000 năm qua	
codex_sinaiticus	Codex Sinaiticus được viết	
codex_vaticanus	Codex Vaticanus được viết	
leningrad_codex	Leningrad Codex được viết ở Cairo năm 1008 TN	
john	Giăng viết “Khải huyền” khi bị lưu đày ở Bát-mô vào năm 96-98 CN.	
nicaea1	Công đồng Nicaea đầu tiên	
buddha	Đức Phật – Siddhartha Gautama c.563-c.483 B.C.E	
buddha2	Đức Phật thay thế c. 480-400 TCN	
mohammed	Mohammed c. 570-632 CN	
confucius	Khổng Tử c.551-c.479 TCN	
hijrah	Hijrah - Mecca đến Medina 16. 7. 622	
moses_escape	1553 TCN Môi-se phải trốn khỏi Ai Cập – Xuất Ai Cập 2:15, Công vụ 7:23	
10plagues	1513 TCN Ai Cập hứng chịu 10 tai vạ	
joseph_sold	Giô-sép bị bán làm nô lệ ở tuổi 17 – Sáng thế ký 37:2	
infliction	400 năm bị hà hiếp (Công vụ 7:6) – Ích-ma-ên 1913 TCN	
Alexander	Alexander Đại Đế (Đa-ni-ên 11:3)	
persia	Cyrus Đại Đế, Cambyses II, Darius I 490 TCN, Xerxes I 480 TCN (chồng của Ê-xơ-tê, Đa-ni-ên 11:2)	
persia2	Ba Tư	Persia
king_north	Seleukos I Nicator (v5) Syria đến Antiochus III (v10) và Seleukos IV (v18, 19) xuống Octavian (v20) và Tiberius (v21-24)	Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)
king_north1	Vua phương Bắc	King of the North
king_south	Ptolemy I, II, III, IV (v11, 12), V (v15, 16) tới Trận Actium 31 TCN	Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.
king_south1	Vua phương Nam	King of the South
king_south2	Đế quốc Anh 1870, Cường quốc Thế giới Anh-Mỹ từ 1914	British empire 1870, Anglo-American World Power since 1914
king_south3	Vua phương Nam	King of the South
king_north2	Đức với Hoàng đế William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)	Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)
king_north3	Bắc	North
king_north4	Liên Xô 1945-1991 (Đa-ni-ên 11:32-39, 40b, 41)	Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)
king_north5	Nga kể từ năm 2017 (w20 tháng 5)	Russia since 2017 (w20 May)
time_of_end	Sự hiện diện của Đấng Christ, Sự kết thúc của hệ thống mọi sự (Ma-thi-ơ 24:3), ngày sau rốt (2Ti 3:1)	Presence of Christ, Conclusion of the system of things (Matt 24:3), the last days (2Ti 3:1)
time_of_end2	ngày cuối cùng	last days
suryavaman2	Vua Suryavarman II xây dựng Angkor Wat 1113-1150	King Suryavarman II builds Angkor Wat 1113-1150
notre-dame	Nhà thờ Đức Bà Paris được xây dựng 1163-1260	Notre-Dame de Paris built 1163-1260
ming-dynasty	Nhà Minh ở Trung Quốc 1368-1644	Ming dynasty in imperial China 1368-1644
jehoiada	Giê-hô-gia-đa	Jehoiada
babel	Tháp Babel được xây dựng	tower of Babel built
Haggai	Ha-gai	Haggai
Zephaniah	Xa-cha-ri	Zephaniah
Zerubbabel	Xô-rô-ba-bên (Lu-ca 3:27)	Zerubbabel (Luke 3:27)
Babylon	 	
Medopersia	Đa-ni-ên 2:32, 39; 7:5	
Greece	Đa-ni-ên 2:32, 39; 7:6	
Rome	Đa-ni-ên 2:33, 40; 7:7	
Angloamerica	Đa-ni-ên 2:33, 41-43	
Babylon_c	Ba-by-lôn	
Medopersia_c	Mê-đi Ba Tư	
Greece_c	Hy Lạp	
Rome_c	La Mã	
Angloamerica_c	Anh-Mỹ	
infliction1	400 năm sự hà hiếp	Acts 7:6
infliction2	Công vụ 7:6	
Jacob2	Gia-cốp/	Jacob/Israel 1858-1711 – 147 years
Israel	Y-sơ-ra-ên 	
Sarah	Sa-ra	2008-1881 BCE – 127 years
Hagar	Ha-ga	Genesis 21:14
Haran	Cha-ran	Genesis 11:26
Nahor	Na-cô	
Reumah	Rê-u-ma	Concubine – 4 sons
Milcah	Minh-ca	8 sons (Bethuel and 7 more)
Lot	Lót	
Lots_wife	Vợ của Lót	
Lots_daughters	Con gái của Lót	
Moab	Mô-áp (con gái lớn)	
Ammon	Bên-am-mi (Am-môn)	
Bethuel	Bê-tu-ên	
Rebekah	Rê-bê-ca	
Laban	La-ban	
Leah	Lê-a	Genesis 35:23
Rachel	Ra-chên	Genesis 35:24
Bilhah	Bi-la	Genesis 35:25
Zilpah	Xinh-ba	Genesis 35:26
Reuben	Ru-bên	
Simeon	Si-mê-ôn	
Levi	Lê-vi	
Judah	Giu-đa	
Issachar	Y-sa-ca	
Zebulun	Xê-bu-lôn	
Dinah	Đi-na	Genesis 34
Esau	Ê-sau	
Ishmael	Ích-ma-ên	
Manasseh2	(Ma-na-se	
Ephraim	và Ép-ra-im)	
Benjamin	Bên-gia-min	
Dan	Đan	
Naphtali	Nép-ta-li	
Gad 	Gát	
Asher	A-se	
Milcah1	Út-xơ, Bu-xơ, Kê-mu-ên,	Genesis 22:21
Milcah2	Kê-sết, Ha-xô	
Milcah3	Phin-đát, Dít-láp	
Tebah	Tê-ba	Genesis 22:23
Gaham	Ga-ham	
Tahash	Ta-hách	
Maacah	Ma-a-ca	
Mahalath	Ma-ha-lát/	Genesis 28:8, 9
Basemath	Bách-mát	Genesis36:3, 4
Reuel	Rê-u-ên	36:13, 17
Nahath	Na-hát	
Zerah	Xê-rách	
Schammah	Sam-ma	
Mizzah	Mích-xa	
Adah	A-đa	36:11, 12, 15, 16
Eliphaz	Ê-li-pha	
Teman	Thê-man	
Omar	Ô-ma	
Zepho	Xê-phô	
Kenaz	Kê-na	
Korah	Cô-rê	
Gatam	Ga-tham	
Amalek	A-ma-léc	
Oholibamah	Ô-hô-li-ba-ma	36:14, 18
Jeush	Giê-úc	
Jalam	Gia-lam	
Korah	Cô-rê	
Nebaioth	Nê-ba-giốt	Genesis 25:13
Kedar	Kê-đa	
Adbeel	Át-bê-ên	
Mibsam	Mi-bô-sam	
Mishma	Mít-ma	
Dumah	Đu-ma	
Massa	Mác-sa	
Hadad	Ha-đát	
Tema	Thê-ma	
Jetur	Giê-thu	
Naphish	Na-phích	
Kedemah	Kết-ma	
terahfam	Các thành viên trong gia đình Terah	
