key,text,english,notes
Saul,Saul,Saul,1 Samuel 9:2
David,David,David,1 Samuel 16:13
Solomon,Solomon,Solomon,1 Kings 2:1
Rehoboam,Rehabeam,Rehoboam,first king of southern kingdom of Juda
Abijah,Abia (Abiam),Abijah (Abijam),"3 years, also Abijam"
Asa,Asa,Asa,A6-A
Jehoshaphat,Josafat,Jehoshaphat, 
Jehoram2,Joram,Jehoram, 
Ahaziah,Ahazia,Ahaziah, 
Athaliah,Koningin Athalia,Queen Athaliah,Queen Athaliah
Jehoash,Joas,Jehoash, 
Amaziah,Amazia,Amaziah, 
Uzziah,Uzzia (Azarja),Uzziah (Azariah),also Azariah
Jotham,Jotam,Jotham,A6-B
Ahaz,Achaz,Ahaz, 
Hezekiah,Hizkia,Hezekiah, 
Manasseh,Manasse,Manasseh, 
Amon,Amon,Amon, 
Josiah,Josia,Josiah, 
Jehoahaz,Joahaz,Jehoahaz,Only 3 months
Jehoiakim,Jojakim,Jehoiakim, 
Jehoiachin,Jojachin,Jehoiachin,Only 3 months 10 days
Zedekiah,Zedekia,Zedekiah, 
Jeroboam,Jerobeam,Jeroboam,first king of northern 10-tribe kingdom
Nadab,Nadab,Nadab,less than 2
Baasha,Basa,Baasha, 
Elah,Ela,Elah, 
Zimri,Zimri,Zimri,Only 7 days in ca. 751 BCE
OmriTibni,Omri en Tibni samen,Omri and Tibni together,4 years Omri and Tibni
Omri,Omri (alleen),Omri (alone),from 947 Omri alone
Ahab,Achab,Ahab, 
Jehoram,Joram,Jehoram, 
Jehu,Jehu,Jehu, 
Jeoahaz,Joahaz,Jeoahaz, 
JeoahazJehoash,Joahaz en Joas,Jeoahaz and Jehoash,For 3 years Jeoahaz and Jeoash reigned together
Jehoash2,Joas (alleen),Jehoash (alone),Jehoash (alone)
Jeroboam2,Jerobeam II,Jeroboam II, 
Zechariah,Zacharias,Zechariah,"reign only recorded 6 months, probably only established 792 BCE"
Schallum,Schallum,Schallum,only one month
Menahem,Menahem,Menahem, 
Pekahiah,Pekahia,Pekahiah, 
Pekah,Pekah,Pekah, 
Hoshea,Hosea,Hoshea,9 years from c. 748
Elijah,Elia,Elijah, 
Elisha,Elisa,Elisha, 
Jonah,Jona,Jonah, 
Amos,Amos,Amos, 
Joel,Joël,Joel, 
Hosea,Hosea,Hosea, 
Isaiah,Jesaja,Isaiah, 
Micah,Micha,Micah, 
Zephaniah,Zefanja,Zephaniah, 
Nahum,Nahum,Nahum, 
Jeremiah,Jeremia,Jeremiah, 
Habakuk,Habakuk,Habakuk, 
Daniel,Daniël,Daniel, 
Ezekiel,Ezechiël,Ezekiel, 
Obadiah,Obadja,Obadiah, 
Malachi,Maleachi,Malachi, 
Ruth,Ruth,Ruth, 
Ezra,Esra,Ezra, 
Nehemiah,Nehemia,Nehemiah, 
Esther,Ester,Esther, 
Job,Functie,Job, 
moses2,1593 tot 1473 v.G.T. – 120 jaar,1593 to 1473 B.C.E. – 120 years, 
moses3,Mozes,Moses, 
wilderness,Israël in de wildernis 1513 tot 1473 v.G.T. – 40 jaar,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, 
timespan_judges,1473 tot 1117 v.G.T. – 356 jaar,1473 to 1117 B.C.E. – 356 years, 
timespan_judges2,Tijd van de juryleden,Time of the judges, 
temple1,Nisan 1513 v.G.T. tot Ziv 1034 v.G.T.,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., 
temple2,479 jaar tot de tempelbouw – 1 Koningen 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE
69weeks,Jezus doopte in de herfst van 29 G.T.,Jesus baptized autumn 29 C.E., 
69weeks2,69 weken tot de Messias – Daniël 9:25,69 weeks to the Messiah – Daniel 9:25, 
jesus_service,"3,5 jaar Jezus-dienst, geëxecuteerd op 14 Nisan 33 G.T.","3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", 
jesus_life,Jezus geboren in 2 v.G.T.,Jesus born 2 B.C.E., 
exile,607 tot 537 v.G.T. – 70 jaar (Jeremia 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), 
exile2,Verbannen,Exile, 
7times,Openbaring 12:9,Revelation 12:9, 
7times2,7 keer – 2520 jaar tot het Messiaanse koninkrijk 1914 G.T. (Daniël 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), 
ww1,Eerste Wereldoorlog – 1914–1918 G.T.,World War I – 1914–1918 C.E., 
ww2,Tweede Wereldoorlog – 1939–1945 CE,World War II – 1939–1945 C.E., 
30_year_war,Dertigjarige oorlog in Europa 1618-1648,Thirty Years' War in Europe 1618-1648, 
joshua,110 jaar,110 years, 
joshua2,Jozua,Joshua, 
caleb,ruim 85 jaar,more than 85 years, 
caleb2,Kaleb,Caleb, 
missionary1,"Eerste zendingsreis van Paulus, ca. 47-48 G.T. met Barnabas en Johannes Marcus","First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", 
circumcision,"Besnijdeniskwestie in Antiochië, conferentie in Jeruzalem ca. 49 CE","Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", 
missionary2,Tweede zendingsreis c. 49-52 CE met Silas (Silvanus),Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), 
missionary3,Derde zendingsreis c. 52-56 G.T.,Third Missionary Journey c. 52-56 C.E., 
caesarea,Paulus in hechtenis in Caesarea c. 56-58 G.T.,Paul in custody in Caesarea c. 56-58 C.E., 
rome1,Paulus’ eerste gevangenschap in Rome ca. 59-61 G.T.,Paul’s first imprisonment in Rome c. 59-61 C.E., 
rome2,"Paulus’ tweede gevangenschap in Rome ca. 65 G.T., 2 Timotheüs geschreven, Paulus geëxecuteerd","Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed", 
Julius,Julius,Julius, 
Augustus,Augustus,Augustus,Luke 2:1
Tiberius,Tiberius,Tiberius,Luke 3:1
Caligula,Caligula,Caligula, 
Claudius,Claudius,Claudius,Acts 11:28
Nero,Nero,Nero, 
Galba-Otho-Vitellius,"Galba, Otho en Vitellius (Jaar van de vier keizers)","Galba, Otho and Vitellius (Year of the Four Emperors)", 
Vespasian,Vespasianus,Vespasian, 
event_exodus,Uittocht uit Egypte op 14 Nisan 1513 v.G.T.,"Exodus from Egypt on Nisan 14th, 1513 B.C.E.", 
event_division_kingdom,Verdeling van Israël 997 v.Chr,Division of Israel 997 BCE, 
event_destruction_samaria,Vernietiging van Samaria 740 v.G.T. door Assyrië,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria
event_destruction_samaria2,740 v.G.T. door Assyrië,740 B.C.E. by Assyria,was shortened here for 2 lines
event_destruction_jerusalem1,"Vernietiging van Jeruzalem 607 v.G.T. door Babylon, 390 jaar na de verdeling van het koninkrijk (Ezechiël 4:5)","Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)", 
event_temple_rebuilt,Tempel in Jeruzalem herbouwd 515 v.G.T.,Temple in Jerusalem rebuilt 515 B.C.E., 
event_jerusalem_rebuilt,De muur van Jeruzalem werd in 455 v.G.T. herbouwd.,Jerusalem wall rebuilt 455 B.C.E., 
event_destruction_jerusalem2,Vernietiging van Jeruzalem 70 G.T. door Rome onder Titus,Destruction of Jerusalem 70 C.E. by Rome under Titus, 
event_1914,"Einde van de tijd der natiën (Lukas 21:24), Gods koninkrijk begint in de hemel te regeren 1914 G.T.","End of the time of the nations (Luke 21:24), God’s Kingdom starts to rule in heaven 1914 C.E.",include scripture Luke 21:24
became_king,wordt koning op leeftijd,becomes king at age,2025-04-14
vulgate,Vulgaat aangevuld door Hiëronymus (Latijnse vertaling van de bijbel) c. 405 CE,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E., 
gutenberg,Gutenbergbijbel gedrukt in 1455,Gutenberg Bible printed 1455, 
erasmus,"Griekse tekst van de christelijke Griekse Geschriften, uitgegeven door Desiderius Erasmus uit Rotterdam, 1516",Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516, 
luther,Lutherbijbelvertaling in september 1522,Luther Bible translation in September 1522, 
tyndale,Engelse bijbelvertaling door Tyndale 1536,English Bible translation by Tyndale 1536, 
king_james,King Jamesbijbel 1611,King James Bible 1611, 
69weeks3,"Jezus begint zijn dienst in 29 GT (Lukas 3:1, 21)","Jesus starts his service 29 CE (Luke 3:1, 21)", 
ransom,Midden van de week “offer om op te houden” Daniël 9:27,Middle of week “sacrifice to cease” Daniel 9:27, 
cornelius,Cornelius doopte aan het einde van de zeventig weken (Daniël 9:24) in 36 G.T.,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E., 
columbus,Einde van de precolumbiaanse periode in Amerika 1492,End of the pre-columbian period in the Americas 1492, 
declaration_independence,Onafhankelijkheidsverklaring van 13 koloniën in Amerika 1776,Declaration of independence of 13 colonies in America 1776, 
tischendorf,Tischendorf ontdekt in 1844 de Codex Sinaiticus uit de 4e eeuw,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844, 
dead_sea_scrolls,Dode Zeerollen geschreven,Dead Sea Scrolls written, 
septuagint,Septuaginta LXX vertaald,Septuagint LXX translated, 
watchtower,De eerste uitgave van “Zion’s Watch Tower and Herald of Christ’s Presence” verschijnt in 1879,The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879, 
photodrama,Het „Photo-Drama der Schepping” wordt voor het eerst vertoond in New York op 11 januari 1914,"The “Photo-Drama of Creation” is first shown in New York on January 11, 1914", 
jehovahs_witnesses,"De Bijbelonderzoekers nemen een nieuwe naam aan – Jehovah’s Getuigen (Jesaja 43:10, 12) in Columbus, Ohio, 1931","The Bible Students adopt a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931",include scripture
gilead_school,De Wachttoren-Bijbelschool Gilead begint op maandag 1 februari 1943,"Watchtower Bible School of Gilead begins on Monday, February 1, 1943", 
new_world_translation1,"In de „Nieuwe-Wereldvertaling van de Heilige Schrift”, die op 18 juni 1960 in Manchester (Engeland) werd uitgegeven, wordt de naam Jehovah opnieuw in veel delen van de Bijbel geïntroduceerd","“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960, reintroduces the name Jehovah in many parts of the Bible",hightlight reintroduction of Jehovah’s name
truth_book,Het boek ‘De waarheid die tot eeuwig leven leidt’ verschijnt in 1968,The book “The Truth That Leads to Eternal Life” is released 1968, 
metropolitan,Start van grootstedelijk getuigenis in 2011,Start of metropolitan witnessing in 2011, 
jw_org,Start van JW.ORG met instructies in Koninkrijksdienst december 2012,Start of JW.ORG with instructions in Kingdom Ministry December 2012, 
new_world_translation2,"Herziene ‘Nieuwe-Wereldvertaling van de Heilige Schrift’ uitgebracht tijdens de jaarvergadering van 2013, geoptimaliseerd voor digitaal en online gebruik","Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013, optimized to be used digitally and online",new edition with digital and online in mind
jw_broadcasting,Start van JW Broadcasting® in oktober 2014,Start of JW Broadcasting® in October 2014, 
meeting_workbook,Nieuw format voor midweekvergaderingen met “Vergaderwerkboek” vanaf januari 2016,New format of midweek meeting with “Meeting Workbook” starting January 2016, 
covid19,COVID-19,Covid-19, 
cold_war,Geopolitieke situatie met het label ‘Koude Oorlog’ 1945-1991,Geopolitical situation labeled “Cold War” 1945-1991, 
timeline_created,"Deze tijdlijn is gemaakt in 2023, het warmste jaar in de menselijke geschiedenis en de afgelopen 125.000 jaar","This timeline is created in 2023, the hottest year in human history and the last 125,000 years", 
codex_sinaiticus,Codex Sinaiticus geschreven,Codex Sinaiticus written, 
codex_vaticanus,Codex Vaticanus geschreven,Codex Vaticanus written, 
leningrad_codex,Leningrad Codex geschreven in Caïro in 1008 na Christus,Leningrad Codex written in Cairo AD 1008, 
john,Johannes schrijft ‘openbaring’ terwijl hij in ballingschap was op Patmos van 96 tot 98 G.T.,John writes “revelation” while exiled on Patmos 96-98 C.E., 
nicaea1,Eerste Concilie van Nicea,First Council of Nicaea, 
buddha,De Boeddha – Siddhartha Gautama ca. 563-ca. 483 v.G.T,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E, 
buddha2,Boeddha alternatief c. 480-400 v.G.T.,Buddha alternatively c. 480-400 B.C.E., 
mohammed,Mohammed c. 570-632 G.T.,Mohammed c. 570-632 C.E., 
confucius,Confucius ca. 551-ca. 479 v.G.T.,Confucius c.551-c.479 B.C.E., 
hijrah,"Hijrah - Reis van Mekka naar Medina, 16 juli 622",Hijrah - Journey Mecca to Medina 16 July 622, 
moses_escape,"1553 v.G.T. Mozes moet Egypte ontvluchten – Exodus 2:15, Handelingen 7:23","1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23", 
10plagues,1513 v.G.T. Egypte krijgt tien plagen,1513 B.C.E Egypt receives 10 plagues, 
joseph_sold,Jozef werd op 17-jarige leeftijd als slaaf verkocht – Gen 37:2,Joseph sold as slave at the age of 17 – Gen 37:2, 
infliction,400 jaar durende straf (Handelingen 7:6) – Ismaël 1913 v.G.T.,400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E, 
Alexander,Alexander de Grote (Daniël 11:3),Alexander the Great (Daniel 11:3), 
persia,"Cyrus de Grote, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (echtgenoot van Esther, Daniël 11:2)","Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)", 
persia2,Perzië,Persia, 
king_north,"Seleucus I Nicator (v5) Syrië tot Antiochus III (v10) en Seleucus IV (v18, 19) tot Octavianus (v20) en Tiberius (v21-24)","Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)", 
king_north1,Koning van het Noorden,King of the North, 
king_south,"Ptolemaeus I, II, III, IV (v11, 12), V (v15, 16) naar de slag Actium 31 v.G.T.","Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E.", 
king_south1,Koning van het Zuiden,King of the South, 
king_south2,"Britse Rijk 1870, Anglo-Amerikaanse wereldmacht sinds 1914","British Empire 1870, Anglo-American World Power since 1914", 
king_south3,Koning van het Zuiden,King of the South, 
king_north2,"Duitsland met keizer Willem I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)","Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)", 
king_north3,Noorden,North, 
king_north4,"Sovjet-Unie 1945-1991 (Daniël 11:32-39, 40b, 41)","Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)", 
king_north5,Rusland sinds 2017 (w20 mei),Russia since 2017 (w20 May), 
time_of_end,"Aanwezigheid van Christus, conclusie van het samenstel van dingen (Matteüs 24:3), de laatste dagen (2 Timotheüs 3:1)","Presence of Christ, Conclusion of the system of things (Matthew 24:3), the last days (2 Timothy 3:1)",scriptures written out
time_of_end2,Laatste dagen,Last days, 
suryavaman2,Koning Suryavarman II bouwt Angkor Wat 1113-1150,King Suryavarman II builds Angkor Wat 1113-1150, 
notre-dame,"Notre Dame de Paris, gebouwd tussen 1163 en 1260",Notre-Dame de Paris built 1163-1260, 
jehoiada,Jojada,Jehoiada,2 Kings 11:4
babel,Toren van Babel gebouwd,Tower of Babel built, 
Haggai,Haggaï,Haggai, 
Zerubbabel,Zerubbabel (Lukas 3:27),Zerubbabel (Luke 3:27),Luke 3:27
Babylon,"Daniël 2:32, 36-38; 7:4","Daniel 2:32, 36-38; 7:4", 
Medopersia,"Daniël 2:32, 39; 7:5","Daniel 2:32, 39; 7:5", 
Greece,"Daniël 2:32, 39; 7:6","Daniel 2:32, 39; 7:6", 
Rome,"Daniël 2:33, 40; 7:7","Daniel 2:33, 40; 7:7", 
Angloamerica,"Daniël 2:33, 41-43","Daniel 2:33, 41-43", 
Babylon_c,Babylon,Babylon, 
Medopersia_c,Medo-Perzië,Medo-Persia, 
Greece_c,Griekenland,Greece, 
Rome_c,Rome,Rome, 
Angloamerica_c,Anglo-Amerika,Anglo-America, 
infliction1,400 jaar toebrengen,400 year infliction,Acts 7:6
infliction2,Handelingen 7:6,Acts 7:6, 
Jacob2,Jakob/,Jacob/,Jacob/Israel 1858-1711 – 147 years
Israel,Israël,Israel,Genesis 35:10
Sarah,Sara,Sarah,"2008-1881 BCE – 127 years, Isaiah 51:2"
Hagar,Hagar,Hagar,Genesis 21:14
Haran,Haraan,Haran,Genesis 11:26
Reumah,Reuma,Reumah,Concubine – 4 sons 22:24
Milcah,Melk,Milcah,8 sons (Bethuel and 7 more)
Lot,Kavel,Lot,Genesis 11:27
Lots_wife,Lot's vrouw,Lot’s wife, 
Lots_daughters,Dochters van Lot,Daughters of Lot, 
Moab,Moab (oudere dochter),Moab (older daughter),Genesis 19:37
Ammon,Ben-Ammi (Ammon),Ben-ammi (Ammon),Genesis 19:38
Bethuel,Betuel,Bethuel,Genesis 22:23
Rebekah,Rebekka,Rebekah, 
Laban,Laban,Laban,Genesis 24:29
Leah,Lea,Leah,Genesis 35:23
Rachel,Rachel,Rachel,Genesis 35:24
Bilhah,Bilha,Bilhah,Genesis 35:25
Zilpah,Zilpa,Zilpah,Genesis 35:26
Reuben,Ruben,Reuben, 
Simeon,Simeon,Simeon, 
Levi,Levi,Levi,Genesis 35:23
Judah,Juda,Judah, 
Issachar,Issaschar,Issachar, 
Zebulun,Zebulon,Zebulun, 
Dinah,Dina,Dinah,Genesis 34
Esau,Ezau/,Esau/, 
Edom,Edom,Edom,Genesis 36:1
Ishmael,Ismaël,Ishmael,Genesis 16:16
Manasseh2,(Manasse,(Manasseh,Genesis 41:50-52
Ephraim,en Efraïm),and Ephraim), 
Benjamin,Benjamin,Benjamin, 
Dan,Dan,Dan,Genesis 35:23
Naphtali,Naftali,Naphtali, 
Gad,Gadver,Gad, 
Asher,Aser,Asher, 
Milcah1,"Uz, Buz, Kemuel,","Uz, Buz, Kemuel,",Genesis 22:21
Milcah2,"Chesed, Hazo,","Chesed, Hazo,", 
Milcah3,"Pildash, Jidlaph","Pildash, Jidlaph", 
Tebah,Tebah,Tebah,Genesis 22:24
Gaham,Gaham,Gaham, 
Tahash,Tahash,Tahash, 
Maacah,Maacha,Maacah, 
Mahalath,Mahalath/,Mahalath/,"Genesis 28:8, 9"
Basemath,Basiswiskunde,Basemath,"Genesis36:3, 4"
Reuel,Reuël,Reuel,"36:13, 17"
Nahath,Nahath,Nahath, 
Zerah,Zera,Zerah, 
Schammah,Schammah,Schammah, 
Mizzah,Mizzah,Mizzah, 
Adah,Ada,Adah,"36:11, 12, 15, 16"
Eliphaz,Elifaz,Eliphaz, 
Teman,Teman,Teman, 
Omar,Omar,Omar, 
Zepho,Zepho,Zepho, 
Kenaz,Kenaz,Kenaz, 
Korah,Korach,Korah, 
Gatam,Gatam,Gatam, 
Amalek,Amalek,Amalek, 
Oholibamah,Oholibamah,Oholibamah,"36:14, 18"
Jeush,Jeus,Jeush, 
Jalam,Jalam,Jalam, 
Nebaioth,Nebajoth,Nebaioth,Genesis 25:13
Kedar,Kedar,Kedar, 
Adbeel,Adbeël,Adbeel, 
Mibsam,Mibsam,Mibsam, 
Mishma,Misma,Mishma, 
Dumah,Doema,Dumah, 
Massa,Massa,Massa, 
Hadad,Hadad,Hadad, 
Tema,Tema,Tema, 
Jetur,Jetur,Jetur, 
Naphish,Nafis,Naphish, 
Kedemah,Kedema,Kedemah, 
Babylon2, , ,no text left and right – empty!
terahfam,Leden van Terahs familie,Members of Terah’s family, 
rosetta,Rosetta-steen 196 v.G.T.,Rosetta stone 196 B.C.E., 
Herodotus,"Herodotus c. 484 - ca. 425 voor Christus, schrijft The Histories","Herodotus c. 484 – c. 425 BC, writes The Histories",Father of History
Aristotle,Aristoteles 384 – 322 v.Chr,Aristotle 384 – 322 BC,"The First Teacher, The Philosopher"
Ptolemy,Ptolemaeus c 100 – c. 170 G.T.,Ptolemy c 100 – c. 170 C.E., 
Pythagoras,Pythagoras c. 570 - ca. 495 v.Chr,Pythagoras c. 570 – c. 495 BC, 
Plato,Plato c. 427 – ca. 348 v.Chr,Plato c. 427 – c. 348 BC, 
Socrates,Socrates c. 470 – ca. 399 v.Chr,Socrates c. 470 – c. 399 BC, 
Josephus,Josephus c. 37 – ca. 100 CE,Josephus c. 37 – c. 100 C.E., 
Cicero,Cicero 106–43 v.Chr,Cicero 106–43 BC,"influence on Latin language, 3 Jan 106 BC – 7 Dec 43 BC"
lachish_letters,Lachise brieven c. 590 v.G.T.,Lachish letters c. 590 B.C.E., 
lachish_reliefs,Lachise reliëfs c. 681 v.G.T.,Lachish reliefs c. 681 B.C.E., 
mesha_stele,Mesha Stele (Moabitische steen) c. 840 v.G.T.,Mesha Stele (Moabite stone) c. 840 B.C.E.,w25/12 study article 50 paragraph 6
gilgamesh,Gilgamesj en Aga 𒇽𒆥𒄄𒀀𒀝𒂵,Gilgamesh and Aga 𒇽𒆥𒄄𒀀𒀝𒂵, 
epic_gilgamesh,Epos van Gilgamesj (Sîn-lēqi-unninni),Epic of Gilgamesh (Sîn-lēqi-unninni), 
oxyrhynchus,Oxyrhynchus Papyri,Oxyrhynchus Papyri, 
p52,Papyrus P52,Papyrus P52, 
daniel2_shift,0,0,Start 4.2
daniel2_1,Koning Nebukadnezar,King Nebuchadnezzar,607 BCE
daniel2_2,vernietigt Jeruzalem,destroys Jerusalem, 
daniel2_3,Verovert Babylon,Conquers Babylon,539 BCE
daniel2_4,Cyrus besluit terug te keren,Cyrus decrees return,537 BCE
daniel2_5,van Joden naar Jeruzalem,of Jews to Jerusalem, 
daniel2_6,Alexander de Grote,Alexander the Great,331 BCE
daniel2_7,verovert Perzië,conquers Persia, 
daniel2_8,Regeert over Israël,Rules over Israel,63 BCE
daniel2_9,Vernietigt Jeruzalem,Destroys Jerusalem,70 CE
daniel2_10,"Tijdens de Eerste Wereldoorlog,","During World War I,",1914-1918 CE
daniel2_11,Anglo-Amerikaanse wereldmacht,Anglo-American World Power, 
daniel2_12,komt tot stand,comes into being,End 4.2
qing-dynasty,1636-1912,1636-1912, 
qing-dynasty_c,Qing-dynastie,Qing dynasty,1636-1912
ming-dynasty,1368-1644,1368-1644, 
ming-dynasty_c,Ming-dynastie in het keizerlijke China,Ming dynasty in imperial China,1368-1644
yuan-dynasty,1271-1368,1271-1368, 
southern-song,1127-1279,1127-1279, 
northern-song,960-1127,960-1127, 
western-xia,1038-1227,1038-1227, 
yuan-dynasty_c,Yuan,Yuan,1271-1368
southern-song_c,Zuidelijk lied,Southern Song,1127-1279
northern-song_c,Noordelijk lied,Northern Song,960-1127
western-xia_c,Westelijke Xia,Western Xia,1038-1227
Copernicus,Nicolaus Copernicus,Nicolaus Copernicus, 
Galileo,Galileo Galilei,Galileo Galilei,Galileo di Vincenzo Bonaiuti de' Galilei
Newton,Isaak Newton,Isaac Newton, 
gregorian,Gregoriaanse kalender 1582,Gregorian calendar 1582, 
shang-dynasty,C. 1600-1046 v.Chr,c. 1600-1046 BC, 
western-zhou,C. 1046-771 v.Chr,c. 1046-771 BC, 
eastern-zhou,770-256 v.Chr,770-256 BC, 
qin-dynasty,Qin 221-207 v.Chr,Qin 221-207 BC, 
western-han,207 v.Chr. - 9 n.Chr,207 BC – 9 CE, 
eastern-han,25-220 n.Chr,25-220 CE, 
three-kingdoms,Drie koninkrijken 220-280 CE,Three kingdoms 220-280 CE, 
sixteen-kingdoms,Zestien koninkrijken 304-439 CE,Sixteen kingdoms 304-439 CE, 
northern-dynasties,368-581 CE,368-581 CE, 
southern-dynasties,420-589 CE,420-589 CE, 
tang-dynasty1, , , 
tang-dynasty2,"618-690, 705-907","618-690, 705-907", 
wu-zhou,690-705 Wu Zhou,690-705 Wu Zhou, 
shang-dynasty_c,Shang-dynastie,Shang dynasty,c. 1600-1046 BC
western-zhou_c,Westelijke Zhou,Western Zhou,c. 1046-771 BC
eastern-zhou_c,Oostelijke Zhou,Eastern Zhou,770-256 BC
western-han_c,Westelijke Han,Western Han,207 BC – 9 CE
eastern-han_c,Oostelijke Han,Eastern Han,25-220 CE
three-kingdoms_c,China,China,Three kingdoms 220-280 CE
sixteen-kingdoms_c,China,China,Sixteen kingdoms 304-439 CE
northern-dynasties_c,Noordelijke dynastieën,Northern dynasties,368-581 CE
southern-dynasties_c,Zuidelijke dynastieën,Southern dynasties,420-589 CE
tang-dynasty1_c,Tang,Tang, 
tang-dynasty2_c,Tang-dynastie,Tang dynasty,"618-690, 705-907"
xia-dynasty,Xia-dynastie in China c. 2070 – ca. 1600 voor Christus,Xia dynasty in China c. 2070 – c. 1600 BC, 
gonghe,Gonghe-regentschap 841-828 v.Chr,Gonghe Regency 841-828 BC, 
Ashoka,Ashoka (ca. 304-232 v.Chr.) bevordert het boeddhisme,Ashoka (c. 304-232 BC) promotes Buddhism, 
siloam-tunnel,Hizkia breidt de Siloam-tunnel uit,Hezekiah extends Siloam tunnel,c. 742-732 BC
Angloamerica2,"Anglo-Amerikaans wordt gesymboliseerd door de voeten van ijzer vermengd met klei in de profetie in Daniël 2:33, 41-43","Anglo-American is symbolized by the feet of iron mixed with clay in the prophecy in Daniel 2:33, 41-43", 
Manetho,Manetho schrijft Aegyptiaca,Manetho writes Aegyptiaca, 
tribulation,"De Grote Verdrukking (Marcus 13:19; Daniël 12:1; Matt 24:21, 22)","The Great Tribulation (Mark 13:19; Daniel 12:1; Matt 24:21, 22)", 
